date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_hazardous,miss_distance_km,relative_velocity_kph
2019-01-02,2532874,532874 (2013 YZ13),19.64,0.313729225,0.7015198735,False,73074602.152625316,88051.8077222548
2019-01-02,3079950,(2001 OT),21.7,0.1214940408,0.2716689341,False,51118999.939836061,50154.6989991236
2019-01-02,3313739,(2006 BA9),22.7,0.0766575574,0.1714115092,False,34950317.339497901,65149.2632274919
2019-01-02,3607626,(2012 PK24),23.64,0.0497227313,0.1111834072,False,27179551.724984701,31290.5431272348
2019-01-02,3621604,(2012 YK),23.0,0.0667659413,0.1492931834,False,16961882.805258293,46353.6246037961
2019-01-02,3739378,(2016 AV64),27.18,0.0097399107,0.0217791025,False,1129914.252968061,53936.1223888
2019-01-02,3796290,(2017 YQ8),24.6,0.0319561887,0.0714562102,False,8271332.982869594,56523.7335688052
2019-01-02,3837537,(2018 YW2),23.9,0.04411182,0.0986370281,False,8408240.43563792,31487.8435752603
2019-01-02,3837638,(2019 AR3),22.43,0.0868070458,0.1941064553,False,8761653.899436717,76386.0276747652
2019-01-02,3837605,(2019 AE3),27.4,0.0088014652,0.0196806745,False,778953.939920885,30454.0358893493
2019-01-02,3837669,(2019 AS3),28.1,0.0063760979,0.0142573883,False,629107.468180519,51803.6950646939
2019-01-02,3837683,(2019 AQ5),25.4,0.022108281,0.0494356193,False,4617828.699207008,18011.2402856799
2019-01-02,3837684,(2019 AR5),21.8,0.1160259082,0.2594418179,False,15058074.176890404,54823.3258328237
2019-01-02,3837744,(2019 AO7),22.8,0.0732073989,0.1636967205,False,10565338.94730123,71069.1841915531
2019-01-02,3837786,(2019 AN8),25.36,0.0225193047,0.050354696,False,4359573.318531186,77247.7593194293
2019-01-02,54087812,(2020 VY4),25.0,0.02658,0.0594346868,False,14477090.727831889,47113.3972811862
2019-01-02,54099640,(2020 XZ3),20.74,0.1890405519,0.4227075246,False,73820690.637290161,134335.8382031784
2019-01-02,54236428,(2022 AV3),25.43,0.021804944,0.0487573371,False,30879238.531652644,63130.5058523749
2019-01-02,54376024,(2023 OY3),25.8,0.0183888672,0.0411187571,False,46058269.093945393,38043.3590760629
2019-01-02,54431756,(2024 FR2),26.04,0.0164647438,0.0368162863,False,74264661.825312628,66986.3355228918
2019-01-01,2527715,527715 (2007 YQ56),19.95,0.2719912773,0.6081909854,True,11440984.49811046,55546.1625632922
2019-01-01,3398654,(2007 YS56),25.7,0.0192555078,0.0430566244,False,17931736.28327898,23271.5511090452
2019-01-01,3827572,(2018 RL4),22.74,0.0752583992,0.1682828966,False,57219334.89894597,43441.6062877711
2019-01-01,3836889,(2018 XB4),24.0,0.0421264611,0.0941976306,False,15971072.78994036,19446.0245553694
2019-01-01,3837538,(2018 YV2),24.2,0.0384197891,0.0859092601,False,10220154.802491985,42184.8185868983
2019-01-01,3837557,(2019 AN),24.2,0.0384197891,0.0859092601,False,19050748.441872921,30035.6259727057
2019-01-01,3837589,(2019 AO2),24.2,0.0384197891,0.0859092601,False,30445075.249263543,29550.078037243
2019-01-01,54105558,(2021 AG6),26.88,0.0111829138,0.0250057554,False,16326647.135132159,36855.4676209502
2019-01-01,54391005,(2023 TA1),26.54,0.0130784109,0.0292442157,False,35757416.757318669,54637.14193929
2019-01-09,2524391,524391 (2002 AD2),20.6,0.2016299194,0.4508582062,False,46587245.905643285,66027.5717560772
2019-01-09,2525319,525319 (2004 YU5),19.04,0.4135756649,0.9247833005,False,70018097.699817268,56317.3315014236
2019-01-09,3555012,(2011 AL1),19.79,0.2927891485,0.6546964391,False,51588466.823566462,99133.4972201598
2019-01-09,3581238,(2011 TG2),20.32,0.229379698,0.5129085974,False,52931134.754111358,64309.33658461
2019-01-09,3712626,(2015 DG200),22.29,0.0925880583,0.2070331923,False,21275299.331617762,57519.9972941908
2019-01-09,3787093,(2017 UN1),24.75,0.0298232505,0.0666868155,False,19845695.590879766,39133.7423117248
2019-01-09,3802037,(2018 FA3),22.8,0.0732073989,0.1636967205,False,34067384.577245231,46527.2901357242
2019-01-09,3826853,(2018 PX23),21.0,0.1677084622,0.3750075218,False,22500687.693209173,39292.6121784745
2019-01-09,3836230,(2018 VB9),19.36,0.3569069267,0.7980681497,False,45088725.822067938,43105.5084767389
2019-01-09,3837686,(2019 AX5),26.0,0.0167708462,0.0375007522,False,3633925.662426336,36965.1449615324
2019-01-09,3837821,(2019 AG10),24.1,0.040230458,0.0899580388,False,44714351.422794517,8166.0088564219
2019-01-09,3837824,(2019 AL10),25.2,0.0242412481,0.0542050786,False,11747096.970428845,19853.3674678827
2019-01-09,3837877,(2019 AH12),26.7,0.0121494041,0.0271668934,False,2406950.411509326,49294.7290116176
2019-01-09,3838127,(2019 CR1),23.8,0.046190746,0.1032856481,False,8170193.617869131,26595.9262454276
2019-01-09,3843110,(2019 NF1),24.1,0.040230458,0.0899580388,False,23821732.79250363,40796.9476259951
2019-01-09,3843512,(2019 PO1),27.8,0.0073207399,0.016369672,False,13671055.324861496,7289.1940031218
2019-01-09,54051342,(2020 QN4),28.6,0.0050647146,0.0113250461,False,34405741.808297239,20292.3127274462
2019-01-09,54106298,(2021 BO),32.95,0.0006832112,0.0015277067,False,34363406.70315169,43432.9898998316
2019-01-09,54139092,(2021 HA2),27.09,0.0101520787,0.0227007381,False,48968521.193759399,45099.4124343406
2019-01-09,54145577,(2021 JL7),22.52,0.0832827346,0.1862258558,False,64797273.062729317,83618.9936708825
2019-01-09,54186666,(2021 QF),24.12,0.0398616229,0.0891332986,False,72709209.729144991,69224.1941203452
2019-01-09,54419814,(2024 AK3),23.88,0.0445199816,0.0995497053,False,33305722.221283823,46498.085409911
2019-01-09,54445312,(2024 KT1),26.99,0.0106305314,0.023770591,False,5939046.284845575,22770.7231600012
2019-01-09,54497938,(2024 VM1),27.36,0.0089650967,0.0200465656,False,12618037.548548279,38850.216745451
2019-01-08,2162483,162483 (2000 PJ5),17.53,0.8290008515,1.8537022573,False,69247622.219178633,132603.7465023149
2019-01-08,2376864,376864 (2001 TP103),20.26,0.235806068,0.5272783976,False,29775115.804180442,9541.1242659857
2019-01-08,2513170,513170 (2004 KH15),20.18,0.2446554962,0.5470663205,False,57679461.998697809,83140.7116800384
2019-01-08,3025766,(2000 AA6),22.44,0.0864082036,0.1932146172,True,15279049.573884995,68857.0674843344
2019-01-08,3176187,(2004 DA53),28.0,0.0066765941,0.0149293183,False,41138450.779878052,20313.2468463057
2019-01-08,3837685,(2019 AS5),32.3,0.0009216265,0.0020608196,False,15065.283417924,45067.5823459813
2019-01-08,3837751,(2019 AK7),21.3,0.1460679643,0.3266178974,False,34494711.700728729,62866.2050909446
2019-01-08,3837785,(2019 AS8),27.3,0.0092162655,0.0206081961,False,4530278.58032054,35404.4745865124
2019-01-08,3838016,(2019 BX1),28.15,0.0062309602,0.0139328506,False,535986.57893163,14506.9108873471
2019-01-08,3838084,(2019 BH5),25.16,0.0246919266,0.0552128263,False,8055686.890315457,14703.0613732664
2019-01-08,3838057,(2019 BH4),21.2,0.1529519353,0.3420109247,False,39439416.66765566,106376.3222494363
2019-01-08,54105095,(2021 AX3),25.46,0.021505769,0.0480883614,False,55251324.788849733,82831.3143505229
2019-01-08,54125411,(2021 DF2),23.88,0.0445199816,0.0995497053,False,48450528.680465192,11412.462294589
2019-01-14,2454177,454177 (2013 GJ35),15.95,1.7161489408,3.8374256911,False,28897830.585917077,85077.141807272
2019-01-14,2504074,504074 (2006 AD),16.67,1.2318419127,2.7544822542,False,28029999.534163676,122288.566371728
2019-01-14,3266031,(2005 BU),26.7,0.0121494041,0.0271668934,False,21622670.417768963,49881.6126728719
2019-01-14,3625130,(2013 BT45),23.1,0.063760979,0.1425738833,False,69517989.940996875,103371.9012266627
2019-01-14,3836720,(2018 XN),23.9,0.04411182,0.0986370281,False,4549288.460374624,20131.124989394
2019-01-14,3837587,(2019 AL2),22.9,0.0699125232,0.1563291544,False,20457547.16915259,31611.5873922265
2019-01-14,3837606,(2019 AG3),23.37,0.056306039,0.1259041307,False,4935946.909225651,52591.9969741972
2019-01-14,3837715,(2019 AS6),26.3,0.0146067964,0.0326617897,False,4655012.521377403,26061.8831022727
2019-01-14,3837718,(2019 AU6),26.61,0.0126635356,0.0283165265,False,985778.036644104,32108.5856214849
2019-01-14,3837883,(2019 AO12),25.6,0.0201629919,0.0450858206,False,7790752.03954307,25402.159189809
2019-01-14,3838070,(2019 BV4),23.8,0.046190746,0.1032856481,False,9688996.240498226,67458.8190923348
2019-01-14,3843324,(2019 OB),25.88,0.0177237239,0.0396314515,False,39486939.333259838,52348.903723066
2019-01-14,3971139,(2019 YM6),22.08,0.1019893859,0.2280551997,False,64208237.388639756,82537.2637528003
2019-01-14,54235539,(2022 AH2),24.6,0.0319561887,0.0714562102,False,25524918.125940226,34381.6545581646
2019-01-14,54280222,(2022 KV2),25.52,0.0209196771,0.04677782,False,59883539.37274806,67125.0667407714
2019-01-13,2002340,2340 Hathor (1976 UA),20.43,0.2180494405,0.4875733714,True,21547881.640464336,37007.4789824252
2019-01-13,2154652,154652 (2004 EP20),18.92,0.437074004,0.9773271842,False,44368017.393957517,41308.0520777986
